Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
261797,26/09/2021,26,September,2021,53,Adults (35-64),M,United States,New York,Bikes,Road Bikes,"Road-200 Blue, 60",1,$820.00,"$1,550.00",$730,$820,"$1,550"
261798,27/09/2021,27,September,2021,36,Adults (35-64),F,United Kingdom,Bristol,Bikes,Mountain Bikes,"Mountain-600 Yellow, 44",2,"$1,290.00","$2,480.00","$2,380","$2,580","$4,960"
261799,27/09/2021,27,September,2021,45,Adults (35-64),M,France,Paris,Bikes,Road Bikes,"Road-300 Silver, 52",4,$840.00,"$1,580.00","$2,960","$3,360","$6,320"
261800,28/09/2021,28,September,2021,31,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Red, 46",1,"$1,140.00","$2,200.00","$1,060","$1,140","$2,200"
261801,29/09/2021,29,September,2021,40,Adults (35-64),M,United States,Illinois,Bikes,Road Bikes,"Road-100 Black, 54",3,$920.00,"$1,750.00","$2,490","$2,760","$5,250"
261802,29/09/2021,29,September,2021,27,Young Adults (25-34),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-400 Green, 42",1,"$1,060.00","$2,000.00",$940,"$1,060","$2,000"
261803,30/09/2021,30,September,2021,48,Adults (35-64),M,United Kingdom,London,Bikes,Road Bikes,"Road-300 Blue, 58",2,$800.00,"$1,600.00","$1,600","$1,600","$3,200"
261804,30/09/2021,30,September,2021,52,Adults (35-64),F,Canada,Ontario,Bikes,Mountain Bikes,"Mountain-700 Yellow, 44",1,"$1,250.00","$2,380.00","$1,130","$1,250","$2,380"
261805,31/09/2021,30,September,2021,34,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-500 Red, 56",4,$840.00,"$1,750.00","$3,640","$3,360","$7,000"
261806,31/09/2021,30,September,2021,46,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-300 Black, 42",2,"$1,200.00","$2,250.00","$2,100","$2,400","$4,500"
261807,17/09/2021,17,September,2021,41,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-100 Red, 38",2,"$1,110.00","$2,200.00","$1,820","$2,220","$4,400"
261808,17/09/2021,17,September,2021,28,Young Adults (25-34),F,Canada,Ontario,Bikes,Road Bikes,"Road-300 Silver, 50",3,$880.00,"$1,580.00","$2,100","$2,640","$4,740"
261809,18/09/2021,18,September,2021,33,Young Adults (25-34),M,United Kingdom,London,Bikes,Mountain Bikes,"Mountain-400 Green, 46",1,$420.00,$769.00,$349,$420,$769
261810,19/09/2021,19,September,2021,45,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-500 Black, 44",2,$295.00,$540.00,$490,$590,"$1,080"
261811,19/09/2021,20,September,2021,29,Young Adults (25-34),F,Germany,Bavaria,Bikes,Mountain Bikes,"Mountain-600 Red, 42",1,"$1,310.00","$2,350.00","$1,040","$1,310","$2,350"
261812,20/09/2021,20,September,2021,35,Adults (35-64),M,United States,Texas,Bikes,Road Bikes,"Road-200 Black, 48",3,$780.00,"$1,400.00","$1,860","$2,340","$4,200"
261813,21/09/2021,21,September,2021,39,Adults (35-64),F,France,Lyon,Bikes,Mountain Bikes,"Mountain-200 Blue, 44",1,"$1,150.00","$2,150.00","$1,000","$1,150","$2,150"
261814,22/09/2021,22,September,2021,42,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-300 Silver, 52",2,$840.00,"$1,580.00","$1,480","$1,680","$3,160"
261815,22/09/2021,22,September,2021,50,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-700 Yellow, 42",4,"$1,210.00","$2,400.00","$4,760","$4,840","$9,600"
261816,23/09/2021,23,September,2021,32,Young Adults (25-34),M,United Kingdom,Manchester,Bikes,Mountain Bikes,"Mountain-300 Black, 46",2,"$1,260.00","$2,390.00","$2,260","$2,520","$4,780"
261817,24/09/2021,24,September,2021,47,Adults (35-64),M,United States,Florida,Bikes,Road Bikes,"Road-100 Blue, 50",2,$900.00,"$1,700.00","$1,600","$1,800","$3,400"
261818,25/09/2021,25,September,2021,24,Young Adults (18-24),F,Canada,Alberta,Bikes,Mountain Bikes,"Mountain-400 Green, 46",1,"$1,050.00","$1,980.00",$930,"$1,050","$1,980"
261819,25/10/2021,25,October,2021,30,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,"Road-300 Red, 58",3,$790.00,"$1,600.00","$2,430","$2,370","$4,800"
261820,26/10/2021,26,October,2021,39,Adults (35-64),F,Germany,Berlin,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,200.00","$2,300.00","$2,200","$2,400","$4,600"
261821,26/10/2021,26,October,2021,53,Adults (35-64),M,United States,New York,Bikes,Road Bikes,"Road-200 Blue, 60",1,$820.00,"$1,550.00",$730,$820,"$1,550"
261822,27/10/2021,27,October,2021,36,Adults (35-64),F,United Kingdom,Bristol,Bikes,Mountain Bikes,"Mountain-600 Yellow, 44",2,"$1,290.00","$2,480.00","$2,380","$2,580","$4,960"
261823,27/10/2021,27,October,2021,45,Adults (35-64),M,France,Paris,Bikes,Road Bikes,"Road-300 Silver, 52",4,$840.00,"$1,580.00","$2,960","$3,360","$6,320"
261824,28/10/2021,28,October,2021,31,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Red, 46",1,"$1,140.00","$2,200.00","$1,060","$1,140","$2,200"
261825,29/10/2021,29,October,2021,40,Adults (35-64),M,United States,Illinois,Bikes,Road Bikes,"Road-100 Black, 54",3,$920.00,"$1,750.00","$2,490","$2,760","$5,250"
261826,29/10/2021,29,October,2021,27,Young Adults (25-34),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-400 Green, 42",1,"$1,060.00","$2,000.00",$940,"$1,060","$2,000"
261827,30/10/2021,30,October,2021,48,Adults (35-64),M,United Kingdom,London,Bikes,Road Bikes,"Road-300 Blue, 58",2,$800.00,"$1,600.00","$1,600","$1,600","$3,200"
261828,30/10/2021,30,October,2021,52,Adults (35-64),F,Canada,Ontario,Bikes,Mountain Bikes,"Mountain-700 Yellow, 44",1,"$1,250.00","$2,380.00","$1,130","$1,250","$2,380"
261829,31/10/2021,31,October,2021,34,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-500 Red, 56",4,$840.00,"$1,750.00","$3,640","$3,360","$7,000"
261830,31/10/2021,31,October,2021,46,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-300 Black, 42",2,"$1,200.00","$2,250.00","$2,100","$2,400","$4,500"
261831,01/11/2021,1,November,2021,29,Young Adults (25-34),F,United Kingdom,Manchester,Bikes,Road Bikes,"Road-200 Red, 50",1,$810.00,"$1,520.00",$710,$810,"$1,520"
261832,01/11/2021,1,November,2021,41,Adults (35-64),M,United States,Florida,Bikes,Mountain Bikes,"Mountain-400 Green, 42",2,"$1,150.00","$2,180.00","$2,060","$2,300","$4,360"
261833,02/11/2021,2,November,2021,25,Young Adults (25-34),M,Germany,Munich,Bikes,Road Bikes,"Road-500 Blue, 58",3,$900.00,"$1,750.00","$2,550","$2,700","$5,250"
261834,02/11/2021,2,November,2021,37,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-500 Black, 44",1,"$1,090.00","$2,040.00",$950,"$1,090","$2,040"
261835,03/11/2021,3,November,2021,33,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-200 Yellow, 52",2,$870.00,"$1,600.00","$1,460","$1,740","$3,200"
261836,03/11/2021,3,November,2021,45,Adults (35-64),M,United States,Texas,Bikes,Mountain Bikes,"Mountain-300 Blue, 42",1,"$1,050.00","$2,000.00",$950,"$1,050","$2,000"
261837,04/11/2021,4,November,2021,56,Adults (35-64),F,United Kingdom,Liverpool,Bikes,Road Bikes,"Road-500 Black, 54",2,$820.00,"$1,720.00","$1,800","$1,640","$3,440"
261838,04/11/2021,4,November,2021,24,Young Adults (18-24),M,France,Paris,Bikes,Mountain Bikes,"Mountain-200 Green, 46",1,"$1,100.00","$2,120.00","$1,020","$1,100","$2,120"
261839,05/11/2021,5,November,2021,47,Adults (35-64),F,Germany,Berlin,Bikes,Road Bikes,"Road-100 Blue, 50",2,$880.00,"$1,700.00","$1,640","$1,760","$3,400"
261840,05/11/2021,5,November,2021,29,Young Adults (25-34),M,United States,New York,Bikes,Mountain Bikes,"Mountain-400 Black, 42",1,"$1,200.00","$2,200.00","$1,000","$1,200","$2,200"
261841,06/11/2021,6,November,2021,38,Adults (35-64),F,Canada,Ontario,Bikes,Road Bikes,"Road-300 Yellow, 56",2,$850.00,"$1,650.00","$1,600","$1,700","$3,300"
261842,06/01/2021,6,January,2021,53,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Green, 48",1,"$1,240.00","$2,300.00","$1,060","$1,240","$2,300"
261843,07/01/2021,7,January,2021,44,Adults (35-64),F,United Kingdom,London,Bikes,Road Bikes,"Road-400 Black, 52",3,$780.00,"$1,520.00","$2,220","$2,340","$4,560"
261844,07/01/2021,7,January,2021,49,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-700 Red, 46",2,"$1,300.00","$2,450.00","$2,300","$2,600","$4,900"
261845,08/02/2021,8,February,2021,35,Adults (35-64),F,Canada,Quebec,Bikes,Road Bikes,"Road-600 Yellow, 54",1,$950.00,"$1,800.00",$850,$950,"$1,800"
261846,08/02/2021,8,February,2021,28,Young Adults (25-34),M,United States,Illinois,Bikes,Mountain Bikes,"Mountain-800 Blue, 42",2,"$1,050.00","$2,050.00","$2,000","$2,100","$4,100"
261847,09/02/2021,9,February,2021,52,Adults (35-64),F,Germany,Bavaria,Bikes,Road Bikes,"Road-700 Red, 56",1,$880.00,"$1,650.00",$770,$880,"$1,650"
261848,09/02/2021,9,February,2021,30,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-600 Green, 48",1,"$1,300.00","$2,400.00","$1,100","$1,300","$2,400"
261849,10/06/2021,10,June,2021,45,Adults (35-64),F,United Kingdom,Scotland,Bikes,Road Bikes,"Road-400 Blue, 52",2,$920.00,"$1,750.00","$1,560","$1,840","$3,500"
261850,10/06/2021,10,June,2021,32,Young Adults (25-34),M,Canada,Alberta,Bikes,Mountain Bikes,"Mountain-500 Black, 44",1,"$1,050.00","$2,050.00","$1,000","$1,050","$2,050"
261851,11/06/2021,11,June,2021,29,Young Adults (25-34),F,United States,New Jersey,Bikes,Road Bikes,"Road-300 Green, 50",3,$800.00,"$1,600.00","$2,400","$2,400","$4,800"
261852,11/06/2021,11,June,2021,41,Adults (35-64),M,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Red, 42",1,"$1,100.00","$2,200.00","$1,100","$1,100","$2,200"
261853,12/06/2021,12,June,2021,36,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-500 Yellow, 54",1,$890.00,"$1,600.00",$710,$890,"$1,600"
261854,12/06/2021,12,June,2021,54,Adults (35-64),M,United Kingdom,Northern Ireland,Bikes,Mountain Bikes,"Mountain-400 Black, 48",2,"$1,000.00","$2,100.00","$1,100","$2,000","$4,200"
261855,13/06/2021,13,June,2021,27,Young Adults (25-34),F,United States,Ohio,Bikes,Road Bikes,"Road-200 Green, 50",2,$860.00,"$1,700.00","$1,460","$1,720","$3,400"
261856,13/06/2021,13,June,2021,34,Adults (35-64),M,Germany,Berlin,Bikes,Mountain Bikes,"Mountain-300 Yellow, 46",1,"$1,100.00","$2,050.00",$950,"$1,100","$2,050"
261857,14/06/2021,14,June,2021,39,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-100 Black, 56",2,$800.00,"$1,500.00","$1,400","$1,600","$3,000"
261858,14/06/2021,14,June,2021,44,Adults (35-64),M,Canada,Manitoba,Bikes,Mountain Bikes,"Mountain-600 Red, 42",1,"$1,050.00","$2,000.00",$950,"$1,050","$2,000"
261859,15/12/2021,15,December,2021,31,Young Adults (25-34),F,United States,Texas,Bikes,Road Bikes,"Road-500 Green, 52",3,$750.00,"$1,600.00","$2,550","$2,250","$4,800"
261860,15/15/2021,15,December,2021,50,Adults (35-64),M,Germany,Hesse,Bikes,Mountain Bikes,"Mountain-800 Black, 48",2,"$1,100.00","$2,200.00","$1,100","$1,100","$2,200"
261861,16/12/2021,16,December,2021,22,Young Adults (18-24),F,Australia,Victoria,Bikes,Road Bikes,"Road-600 Yellow, 54",1,$920.00,"$1,800.00",$880,$920,"$1,800"
261862,16/12/2021,16,December,2021,48,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Red, 44",2,$950.00,"$2,000.00","$1,050","$1,900","$4,000"
261863,01/12/2021,1,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,1252,2295,4172,5008,9180
261864,01/12/2021,1,December,2021,44,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1054,1266,2320
261865,02/12/2021,2,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2,420,769,698,840,1538
261866,02/12/2021,2,December,2021,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,420,769,349,420,769
261867,03/12/2021,3,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,0,2295,2086,0,4590
261695,01/12/2021,1,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261696,02/01/2021,2,January,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 47",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261697,03/02/2021,3,February,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 48",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261698,04/03/2021,4,March,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 49",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261699,05/04/2021,5,April,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 50",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261700,06/05/2021,6,May,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 51",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261701,07/06/2021,7,June,2021,39,,F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 52",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261702,08/07/2021,8,July,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 53",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261703,09/08/2021,9,August,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 54",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261704,10/09/2021,10,September,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 54",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261704,05/12/2021,,December,2021,42,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261705,05/12/2021,5,December,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261706,05/12/2021,5,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261707,06/12/2021,6,December,2021,23,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",3,$420.00 ,$769.00 ,"$1,047.00 ","$1,260.00 ","$2,307.00 "
261708,06/12/2021,6,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261709,06/12/2021,6,December,2021,36,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261710,06/12/2021,6,December,2021,47,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261711,07/12/2021,7,December,2021,30,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
261712,07/12/2021,7,December,2021,38,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,"$1,266.00 ","$2,320.00 ","$2,108.00 ","$2,532.00 ","$4,640.00 "
261713,08/12/2021,8,December,2021,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4,$308.00 ,$565.00 ,"$1,028.00 ","$1,232.00 ","$2,260.00 "
261714,08/12/2021,8,December,2021,30,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
261715,08/12/2021,8,December,2021,39,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261716,08/12/2021,8,December,2021,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",,$295.00 ,$540.00 ,$245.00 ,$0.00 ,$0.00 
261717,09/12/2021,9,December,2021,33,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",2,"$1,898.00 ","$3,375.00 ","$2,954.00 ","$3,796.00 ","$6,750.00 "
261718,09/12/2021,9,December,2021,41,Adults (35-64),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261719,10/12/2021,10,December,2021,34,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261720,10/12/2021,10,December,2021,40,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261721,10/12/2021,10,December,2021,26,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261722,10/12/2021,10,December,2021,34,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 40",1,$295.00 ,$540.00 ,$245.00 ,$295.00 ,$540.00 
261723,10/12/2021,10,December,2021,34,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,"$1,912.00 ","$3,400.00 ","$1,488.00 ","$1,912.00 ","$3,400.00 "
261724,10/12/2021,10,December,2021,38,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261725,11/12/2021,11,December,2021,24,Youth (<25),F,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,"$1,252.00 ","$2,295.00 ","$3,129.00 ","$3,756.00 ","$6,885.00 "
261726,11/12/2021,11,December,2021,41,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",2,$420.00 ,$769.00 ,$698.00 ,$840.00 ,"$1,538.00 "
261727,11/12/2021,11,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261728,11/12/2021,11,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
261729,11/12/2021,11,December,2021,38,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261730,12/12/2021,12,December,2021,36,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
261731,12/12/2021,12,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
261732,12/12/2021,12,December,2021,34,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261733,12/12/2021,12,December,2021,35,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
